S.No.,College,Role,City type,Previous CTC,Previous job changes,Graduation marks,Exp (Months),CTC
1008,Tier 3,Manager,Metro,57125,2,81,47,89234.8691
1009,Tier 1,Executive,Metro,45486,1,48,25,81681.11174
1010,Tier 1,Executive,Metro,53134,2,68,51,80317.28653
1011,Tier 1,Executive,Non-Metro,49260,4,78,48,76586.36751
1012,Tier 2,Manager,Metro,49044,2,61,43,80955.44962
1013,Tier 2,Executive,Non-Metro,60235,4,46,61,91425.958
1014,Tier 3,Executive,Metro,60813,3,65,48,67755.36526
1015,Tier 1,Executive,Non-Metro,54218,4,42,38,74513.29687
1016,Tier 3,Executive,Metro,50083,4,72,59,65942.4538
1017,Tier 3,Executive,Non-Metro,44912,2,67,19,64200.49894
1018,Tier 1,Executive,Non-Metro,57851,1,83,26,60930.67137
1019,Tier 3,Executive,Non-Metro,57569,2,42,54,68285.68582
1020,Tier 3,Executive,Non-Metro,58670,1,43,21,76976.49365
1021,Tier 1,Executive,Metro,60290,1,53,51,81962.81903
1022,Tier 2,Manager,Non-Metro,54753,1,61,22,91972.50906
1023,Tier 2,Manager,Metro,65622,1,39,47,101451.1092
1024,Tier 2,Executive,Metro,46183,2,52,18,67435.45835
1025,Tier 2,Executive,Non-Metro,72661,3,74,47,70238.70481
1026,Tier 1,Executive,Non-Metro,58601,1,75,21,66538.08553
1027,Tier 3,Manager,Metro,53160,1,48,19,73791.03245
1028,Tier 3,Executive,Metro,44074,1,67,23,85688.21999
1029,Tier 1,Executive,Metro,57795,1,43,54,83521.21512
1030,Tier 1,Executive,Non-Metro,42750,2,76,37,71368.6047
1031,Tier 3,Manager,Non-Metro,52091,2,53,46,72988.20713
1032,Tier 2,Manager,Non-Metro,56729,4,81,55,92360.48665
1033,Tier 1,Executive,Non-Metro,49998,2,35,30,60154.53753
1034,Tier 1,Manager,Metro,45634,3,71,18,77400.43221
1035,Tier 3,Executive,Metro,59128,1,56,61,85083.57552
1036,Tier 1,Executive,Non-Metro,47026,4,71,54,71084.32165
1037,Tier 2,Manager,Metro,60268,3,78,22,86904.44889
1038,Tier 3,Manager,Non-Metro,57970,4,44,45,100715.1274
1039,Tier 1,Executive,Metro,55204,3,83,22,70290.0998
1040,Tier 3,Executive,Metro,48698,1,51,19,78933.47406
1041,Tier 3,Manager,Non-Metro,48779,1,79,35,69632.11371
1042,Tier 1,Executive,Metro,51224,2,84,18,62549.3295
1043,Tier 1,Manager,Metro,58035,1,64,20,86581.05248
1044,Tier 1,Executive,Non-Metro,46857,2,39,28,59126.22208
1045,Tier 1,Executive,Metro,57928,3,58,55,70711.32611
1046,Tier 3,Manager,Non-Metro,48975,4,56,43,77684.11444
1047,Tier 1,Executive,Non-Metro,46945,4,53,43,63095.42186
1048,Tier 2,Manager,Metro,73214,4,57,22,100119.5257
1049,Tier 3,Executive,Non-Metro,48934,3,73,25,58063.00752
1050,Tier 1,Manager,Metro,59776,1,48,49,103831.7176
1051,Tier 3,Executive,Non-Metro,65198,4,55,44,60870.90468
1052,Tier 1,Executive,Metro,55202,1,56,64,74959.86169
1053,Tier 1,Executive,Metro,54972,1,85,49,78075.41809
1054,Tier 1,Manager,Metro,56927,2,79,47,93102.25099
1055,Tier 3,Executive,Non-Metro,46207,3,71,27,60878.73062
1056,Tier 3,Executive,Metro,54594,2,50,55,72363.84527
1057,Tier 1,Executive,Non-Metro,55117,2,59,48,72943.17226
1058,Tier 2,Executive,Non-Metro,53985,2,45,45,69523.01714
1059,Tier 2,Executive,Non-Metro,61926,2,46,24,63313.75602
1060,Tier 3,Executive,Metro,56184,4,58,32,66697.46836
1061,Tier 2,Executive,Metro,56101,3,62,24,59041.08136
1062,Tier 2,Executive,Metro,52401,3,48,57,73990.75821
1063,Tier 2,Manager,Metro,61410,4,83,59,102928.7142
1064,Tier 3,Executive,Metro,48638,1,54,36,68374.7491
1065,Tier 1,Executive,Non-Metro,47527,2,77,29,58336.53572
1066,Tier 1,Executive,Non-Metro,45405,1,78,42,73800.36061
1067,Tier 2,Executive,Metro,62532,4,70,48,65021.82167
1068,Tier 1,Executive,Metro,71760,4,40,39,71187.52157
1069,Tier 3,Executive,Metro,46342,3,42,63,78936.18751
1070,Tier 2,Executive,Non-Metro,53031,4,68,54,64318.12174
1071,Tier 2,Manager,Metro,61439,2,56,37,101788.3769
1072,Tier 1,Executive,Metro,55130,4,54,63,76329.43473
1073,Tier 3,Executive,Metro,60214,3,59,21,62418.979
1074,Tier 1,Executive,Non-Metro,52854,4,52,54,76868.8125
1075,Tier 1,Executive,Non-Metro,38765,4,72,60,80489.54765
1076,Tier 2,Executive,Non-Metro,56405,4,71,32,60035.10023
1077,Tier 1,Executive,Non-Metro,58805,1,36,47,74280.30296
1078,Tier 1,Executive,Metro,52168,2,40,21,70571.95947
1079,Tier 2,Manager,Metro,59767,2,37,28,98977.14072
1080,Tier 2,Executive,Metro,54644,2,40,63,74059.05709
1081,Tier 2,Executive,Metro,49891,4,75,18,66862.45507
1082,Tier 3,Executive,Metro,49405,2,76,32,62673.13868
1083,Tier 3,Executive,Metro,46596,1,49,38,61931.25332
1084,Tier 1,Executive,Metro,55954,1,67,32,75850.12588
1085,Tier 3,Executive,Non-Metro,53647,4,64,62,74474.81673
1086,Tier 1,Manager,Non-Metro,42415,3,65,39,77673.62445
1087,Tier 1,Executive,Metro,50550,3,78,55,79909.3283
1088,Tier 3,Executive,Metro,51700,1,37,57,81569.9829
1089,Tier 2,Executive,Metro,76815,4,75,52,82684.16568
1090,Tier 1,Executive,Metro,42916,2,66,56,77490.52777
1091,Tier 2,Manager,Metro,60526,2,51,47,89985.16909
1092,Tier 1,Executive,Non-Metro,50140,2,42,55,77386.51057
1093,Tier 1,Executive,Metro,53962,1,58,23,79568.27487
1094,Tier 3,Manager,Non-Metro,60155,1,64,22,90213.45112
1095,Tier 1,Executive,Non-Metro,55621,2,51,50,71706.60144
1096,Tier 1,Executive,Non-Metro,52670,3,76,18,65619.69597
1097,Tier 1,Manager,Non-Metro,61692,4,53,51,110792.783
1098,Tier 2,Executive,Metro,55209,1,84,22,62356.92605
1099,Tier 1,Executive,Non-Metro,57955,2,55,52,76674.91804
1100,Tier 2,Executive,Non-Metro,55133,3,68,25,67971.72243
1101,Tier 1,Manager,Non-Metro,45664,3,39,33,69528.35702
1102,Tier 1,Executive,Metro,49258,3,37,53,82986.23269
1103,Tier 2,Executive,Metro,67454,2,84,29,69643.68875
1104,Tier 2,Executive,Metro,65689,3,36,58,80505.45849
1105,Tier 1,Executive,Metro,58428,3,65,37,80805.33279
1106,Tier 2,Executive,Non-Metro,56828,4,48,54,71673.46034
1107,Tier 3,Executive,Non-Metro,58460,2,41,49,72681.75045
1108,Tier 3,Executive,Non-Metro,50281,3,51,50,63263.76831
1109,Tier 1,Executive,Metro,54657,1,71,26,65020.47391
1110,Tier 2,Executive,Metro,47867,4,39,45,76955.95025
1111,Tier 1,Executive,Non-Metro,57924,1,43,54,73395.486
1112,Tier 2,Manager,Metro,58912,3,85,38,103944.3212
1113,Tier 2,Manager,Non-Metro,52752,3,35,48,72549.46616
1114,Tier 3,Executive,Non-Metro,49279,1,76,28,59191.66546
1115,Tier 1,Executive,Metro,52642,1,85,23,66869.52345
1116,Tier 2,Executive,Metro,60253,3,58,55,69106.06478
1117,Tier 1,Executive,Metro,57597,2,52,41,68679.90883
1118,Tier 2,Manager,Metro,56103,1,66,25,95083.43094
1119,Tier 2,Manager,Metro,65653,4,49,33,94368.83158
1120,Tier 3,Executive,Non-Metro,49231,1,49,30,63816.55026
1121,Tier 1,Manager,Non-Metro,58772,4,56,23,93127.08427
1122,Tier 2,Executive,Metro,65684,2,79,46,65882.77217
1123,Tier 3,Manager,Non-Metro,63609,1,47,53,109221.3927
1124,Tier 1,Executive,Non-Metro,56990,3,58,27,86557.84898
1125,Tier 1,Manager,Non-Metro,67772,1,38,23,90785.89861
1126,Tier 3,Executive,Non-Metro,49925,4,64,63,64951.64657
1127,Tier 1,Executive,Metro,58284,1,40,55,79183.24208
1128,Tier 2,Executive,Non-Metro,63979,4,42,35,67563.06149
1129,Tier 1,Executive,Metro,55342,2,63,34,80572.8241
1130,Tier 1,Executive,Non-Metro,47766,1,82,19,67185.00411
1131,Tier 2,Executive,Non-Metro,51176,1,58,39,59186.88571
1132,Tier 1,Executive,Metro,74256,2,40,27,83023.18459
1133,Tier 1,Executive,Metro,68071,3,85,57,88690.86642
1134,Tier 3,Executive,Non-Metro,43991,3,63,52,65742.89405
1135,Tier 3,Executive,Metro,56932,3,60,28,76261.60631
1136,Tier 3,Executive,Non-Metro,56426,1,70,50,67726.87939
1137,Tier 1,Executive,Non-Metro,54155,3,70,44,78630.02689
1138,Tier 3,Executive,Non-Metro,43851,1,65,26,54865.59334
1139,Tier 2,Executive,Metro,56122,1,54,33,64557.83702
1140,Tier 3,Manager,Non-Metro,55131,2,42,19,93178.18734
1141,Tier 2,Executive,Metro,57751,1,48,50,78378.46028
1142,Tier 1,Executive,Non-Metro,58653,4,66,41,80073.56962
1143,Tier 2,Executive,Non-Metro,49004,1,69,52,89751.35385
1144,Tier 2,Executive,Metro,56930,3,74,39,66943.4736
1145,Tier 1,Executive,Metro,54247,1,49,50,85719.27031
1146,Tier 3,Executive,Metro,58582,1,68,52,71322.54919
1147,Tier 1,Manager,Metro,61709,4,39,60,117207.244
1148,Tier 3,Executive,Non-Metro,58409,4,37,20,56691.32591
1149,Tier 1,Executive,Metro,49158,1,54,55,85505.18596
1150,Tier 1,Executive,Metro,63379,3,58,42,69885.18232
1151,Tier 1,Executive,Non-Metro,56008,2,68,18,64849.34264
1152,Tier 3,Executive,Non-Metro,60357,3,46,58,80065.95826
1153,Tier 2,Manager,Non-Metro,55592,4,79,43,93020.09307
1154,Tier 3,Executive,Non-Metro,56240,3,61,35,68760.12372
1155,Tier 3,Executive,Non-Metro,51556,4,84,48,70431.03374
1156,Tier 1,Executive,Non-Metro,49213,1,82,36,68388.94755
1157,Tier 2,Manager,Metro,65184,4,82,19,99052.8382
1158,Tier 3,Executive,Non-Metro,45171,3,52,23,67097.18329
1159,Tier 1,Executive,Non-Metro,57913,2,83,20,55293.74847
1160,Tier 1,Executive,Non-Metro,61365,4,78,32,63147.40595
1161,Tier 3,Executive,Non-Metro,58243,1,66,43,61544.45604
1162,Tier 2,Executive,Metro,66309,1,75,34,64938.37271
1163,Tier 2,Executive,Metro,64922,2,51,30,90181.89018
1164,Tier 1,Executive,Non-Metro,56749,1,37,18,61767.78598
1165,Tier 3,Executive,Non-Metro,53798,2,44,41,70241.2169
1166,Tier 1,Executive,Non-Metro,46468,1,74,35,70966.30117
1167,Tier 2,Executive,Metro,65405,4,45,57,78163.1067
1168,Tier 1,Executive,Non-Metro,54254,2,60,29,61216.80966
1169,Tier 1,Executive,Metro,62951,3,50,32,74365.3584
1170,Tier 3,Executive,Non-Metro,64066,4,64,37,69326.09173
1171,Tier 1,Manager,Metro,51461,3,74,18,72709.86324
1172,Tier 1,Manager,Non-Metro,49699,3,84,43,78721.3035
1173,Tier 2,Executive,Non-Metro,63663,4,44,56,64125.55798
1174,Tier 3,Executive,Metro,53866,3,40,38,72441.0059
1175,Tier 3,Executive,Metro,55074,3,79,29,67749.38943
1176,Tier 1,Executive,Non-Metro,50177,3,58,22,60864.10072
1177,Tier 3,Manager,Non-Metro,50204,4,49,52,69110.74728
1178,Tier 1,Executive,Non-Metro,54135,2,70,40,58680.23185
1179,Tier 1,Executive,Non-Metro,63207,2,84,23,71112.14338
1180,Tier 2,Manager,Metro,50297,2,39,31,67527.15019
1181,Tier 1,Executive,Non-Metro,67699,2,81,42,80017.56002
1182,Tier 3,Executive,Non-Metro,53635,4,61,24,66094.08436
1183,Tier 1,Executive,Non-Metro,57135,2,62,25,61164.7386
1184,Tier 1,Executive,Non-Metro,54256,4,83,48,68986.00038
1185,Tier 2,Manager,Non-Metro,56796,3,81,23,78555.43398
1186,Tier 1,Executive,Metro,50007,4,35,45,69125.3422
1187,Tier 3,Manager,Metro,56229,3,76,20,101915.5993
1188,Tier 3,Executive,Non-Metro,54621,2,52,62,74204.18914
1189,Tier 1,Manager,Non-Metro,46454,2,44,43,80042.53045
1190,Tier 1,Executive,Non-Metro,52886,2,60,23,71190.67248
1191,Tier 3,Executive,Non-Metro,60025,2,54,31,71258.47777
1192,Tier 1,Executive,Non-Metro,49743,4,63,41,77869.10479
1193,Tier 1,Executive,Non-Metro,60429,1,35,58,88297.22242
1194,Tier 3,Executive,Non-Metro,65477,2,36,48,63825.21429
1195,Tier 3,Executive,Non-Metro,42093,3,46,31,63799.66223
1196,Tier 3,Executive,Non-Metro,54529,1,77,19,80699.81876
1197,Tier 3,Manager,Non-Metro,58513,3,84,19,96121.85721
1198,Tier 2,Executive,Metro,58339,3,49,41,70172.64816
1199,Tier 3,Executive,Metro,59279,2,52,40,73150.10743
1200,Tier 1,Executive,Non-Metro,51921,1,35,31,73183.35303
1201,Tier 3,Executive,Metro,52761,2,41,37,64003.56954
1202,Tier 3,Executive,Metro,65318,3,72,46,67462.72865
1203,Tier 3,Executive,Metro,57269,2,80,22,65914.61928
1204,Tier 1,Executive,Metro,55593,1,82,51,74420.59864
1205,Tier 2,Manager,Non-Metro,53100,3,59,18,78046.29873
1206,Tier 3,Executive,Metro,41628,1,76,35,62015.94642
1207,Tier 1,Executive,Non-Metro,61245,4,47,59,95876.2547
1208,Tier 1,Manager,Metro,62568,2,39,36,94030.29012
1209,Tier 1,Manager,Non-Metro,48402,4,47,37,81043.15255
1210,Tier 1,Executive,Metro,58434,4,65,59,70821.12076
1211,Tier 3,Executive,Metro,54097,2,37,36,76870.59756
1212,Tier 2,Executive,Metro,63767,3,35,39,92160.39654
1213,Tier 1,Executive,Metro,50441,1,84,18,66181.92792
1214,Tier 1,Executive,Non-Metro,55296,4,43,52,69732.87497
1215,Tier 3,Executive,Non-Metro,53330,4,39,27,61239.84886
1216,Tier 1,Executive,Metro,66173,3,52,18,84956.21447
1217,Tier 2,Executive,Metro,52744,4,80,40,67304.58826
1218,Tier 2,Executive,Metro,61383,4,61,29,67320.63201
1219,Tier 1,Manager,Non-Metro,60448,4,60,46,112779.3962
1220,Tier 3,Executive,Non-Metro,55152,1,35,38,63921.31042
1221,Tier 1,Executive,Non-Metro,42355,3,76,30,64636.86563
1222,Tier 2,Executive,Metro,53884,1,63,40,73543.94246
1223,Tier 2,Executive,Metro,49963,2,46,50,74265.13553
1224,Tier 2,Manager,Non-Metro,53902,3,47,20,90466.73985
1225,Tier 1,Executive,Metro,44974,2,61,41,62808.79897
1226,Tier 2,Executive,Non-Metro,61732,1,66,33,60602.08178
1227,Tier 1,Executive,Metro,42170,1,52,38,65191.42399
1228,Tier 2,Executive,Metro,62831,3,85,42,70825.24457
1229,Tier 2,Executive,Metro,57686,4,65,56,74778.09138
1230,Tier 1,Executive,Metro,57254,1,70,58,71638.59805
1231,Tier 3,Manager,Metro,60298,1,47,52,123416.9943
1232,Tier 1,Manager,Non-Metro,47335,2,52,20,73270.9168
1233,Tier 3,Executive,Non-Metro,54452,3,40,54,65218.68502
1234,Tier 1,Executive,Metro,49086,4,80,58,78946.56632
1235,Tier 2,Executive,Non-Metro,57475,4,64,45,72715.71825
1236,Tier 3,Executive,Metro,60056,3,68,26,57304.09146
1237,Tier 1,Executive,Non-Metro,42227,4,62,63,74288.11713
1238,Tier 3,Executive,Non-Metro,51636,3,77,58,62720.14481
1239,Tier 1,Executive,Metro,52099,4,49,37,66978.7155
1240,Tier 2,Executive,Non-Metro,64898,1,65,25,53486.69462
1241,Tier 2,Manager,Metro,67907,2,74,52,113508.798
1242,Tier 2,Manager,Metro,62908,4,41,64,107149.0162
1243,Tier 3,Executive,Non-Metro,50268,4,37,22,62997.46421
1244,Tier 2,Executive,Non-Metro,55183,2,78,28,64495.67388
1245,Tier 2,Executive,Metro,61183,4,67,18,60461.92594
1246,Tier 1,Executive,Metro,45023,2,39,28,65800.20196
1247,Tier 1,Executive,Non-Metro,52364,3,77,45,65458.43717
1248,Tier 1,Executive,Metro,55788,3,70,33,79389.32698
1249,Tier 2,Executive,Non-Metro,69032,4,46,18,56675.94582
1250,Tier 1,Manager,Metro,59439,1,77,32,108591.1129
1251,Tier 1,Manager,Metro,53547,3,82,24,88400.48274
1252,Tier 1,Executive,Metro,40996,3,37,19,74415.20284
1253,Tier 1,Manager,Metro,48796,4,85,20,77569.74479
1254,Tier 1,Executive,Non-Metro,56829,4,74,40,81195.85535
1255,Tier 2,Executive,Non-Metro,54748,1,68,34,69403.40782
1256,Tier 1,Executive,Non-Metro,60337,1,37,42,71376.41584
1257,Tier 3,Executive,Non-Metro,59176,3,35,51,67273.97696
1258,Tier 3,Executive,Non-Metro,55672,1,43,54,71726.7088
1259,Tier 3,Executive,Metro,63448,2,76,55,94510.72965
1260,Tier 1,Executive,Non-Metro,50429,2,41,52,75993.46503
1261,Tier 1,Executive,Non-Metro,41989,4,48,32,62216.45101
1262,Tier 1,Executive,Metro,63087,1,66,28,70052.79463
1263,Tier 2,Executive,Non-Metro,50400,4,76,41,62229.28776
1264,Tier 1,Executive,Non-Metro,50106,2,66,43,71532.8074
1265,Tier 1,Executive,Non-Metro,59860,2,54,49,78562.34744
1266,Tier 2,Manager,Metro,44965,2,77,64,83414.05232
1267,Tier 1,Executive,Non-Metro,55558,4,68,55,66632.82886
1268,Tier 1,Manager,Metro,57337,3,76,24,88044.34793
1269,Tier 1,Executive,Non-Metro,55210,1,80,20,62180.74258
1270,Tier 1,Executive,Metro,51416,1,84,45,73874.69843
1271,Tier 3,Executive,Metro,55875,4,76,26,67488.08296
1272,Tier 3,Executive,Non-Metro,58333,1,38,25,66935.06939
1273,Tier 2,Executive,Metro,46631,2,56,43,69919.87484
1274,Tier 2,Executive,Metro,47633,2,62,35,63618.79718
1275,Tier 2,Manager,Metro,47460,4,82,26,74837.7244
1276,Tier 1,Executive,Metro,50315,2,46,57,77795.34268
1277,Tier 1,Executive,Non-Metro,54384,1,76,22,74948.17254
1278,Tier 3,Executive,Non-Metro,59354,4,72,32,60200.17761
1279,Tier 1,Manager,Metro,52881,3,57,39,87630.9538
1280,Tier 3,Executive,Non-Metro,56763,3,38,25,58983.45586
1281,Tier 2,Executive,Non-Metro,61870,1,42,48,65467.75682
1282,Tier 3,Manager,Non-Metro,55180,2,73,47,79153.15173
1283,Tier 1,Manager,Non-Metro,50723,1,59,18,80841.084
1284,Tier 2,Executive,Metro,53125,1,42,18,60333.57108
1285,Tier 1,Manager,Metro,65519,3,55,61,117307.6988
1286,Tier 1,Executive,Non-Metro,54005,1,78,47,72128.85695
1287,Tier 1,Executive,Non-Metro,41862,2,41,28,65494.51133
1288,Tier 1,Executive,Non-Metro,52694,1,36,36,68185.42821
1289,Tier 1,Manager,Metro,66148,2,41,20,111739.6545
1290,Tier 2,Executive,Metro,64193,1,78,44,75081.9738
1291,Tier 1,Executive,Non-Metro,44023,3,53,38,62231.54372
1292,Tier 1,Manager,Metro,62788,4,55,19,89010.89926
1293,Tier 2,Executive,Metro,52880,1,64,21,60310.87935
1294,Tier 3,Executive,Metro,47404,4,66,46,68071.37069
1295,Tier 1,Executive,Metro,53042,3,83,58,84687.71582
1296,Tier 1,Executive,Metro,50887,4,37,20,63597.09005
1297,Tier 1,Executive,Metro,52604,3,82,18,75098.21571
1298,Tier 2,Executive,Non-Metro,53239,4,78,28,67381.60661
1299,Tier 3,Executive,Metro,51444,2,42,33,67500.55424
1300,Tier 3,Executive,Non-Metro,54855,3,53,19,60631.2339
1301,Tier 2,Manager,Metro,59883,4,40,45,119585.4895
1302,Tier 3,Manager,Metro,58204,4,36,62,101108.8555
1303,Tier 1,Executive,Non-Metro,50670,1,41,25,68130.71874
1304,Tier 1,Manager,Metro,53045,3,47,43,105077.7049
1305,Tier 1,Manager,Metro,47753,4,73,42,90597.18487
1306,Tier 2,Executive,Non-Metro,49240,2,67,24,60020.12679
1307,Tier 1,Manager,Non-Metro,47842,1,77,29,83103.7726
1308,Tier 3,Manager,Metro,49427,1,82,32,86755.79298
1309,Tier 1,Manager,Non-Metro,54876,3,82,25,90608.40514
1310,Tier 1,Executive,Metro,55179,4,54,41,72895.67263
1311,Tier 3,Executive,Metro,47650,2,49,42,72634.97876
1312,Tier 3,Executive,Non-Metro,52669,2,84,33,66633.05895
1313,Tier 1,Executive,Metro,64069,2,40,34,76812.81209
1314,Tier 1,Manager,Non-Metro,56004,1,69,19,92433.8827
1315,Tier 3,Manager,Non-Metro,46000,4,64,30,63148.61644
1316,Tier 1,Executive,Metro,50518,3,75,18,82046.22627
1317,Tier 1,Executive,Non-Metro,50130,2,40,19,54356.94539
1318,Tier 2,Executive,Metro,76070,2,54,18,58309.55542
1319,Tier 1,Executive,Metro,60495,3,47,35,84676.05262
1320,Tier 3,Executive,Non-Metro,50935,2,67,39,66054.38839
1321,Tier 3,Executive,Metro,60109,2,47,31,61396.47941
1322,Tier 1,Manager,Metro,55145,4,38,62,82190.51522
1323,Tier 2,Executive,Metro,62619,1,77,62,71767.67325
1324,Tier 2,Manager,Non-Metro,61299,4,72,42,103103.6449
1325,Tier 3,Executive,Metro,47058,4,53,31,62076.84769
1326,Tier 1,Executive,Metro,59344,1,64,61,84601.54125
1327,Tier 1,Executive,Non-Metro,61239,4,85,42,69545.8808
1328,Tier 2,Executive,Metro,57311,3,54,51,66931.93484
1329,Tier 1,Executive,Non-Metro,47080,4,66,23,84688.33049
1330,Tier 1,Executive,Metro,59189,4,45,52,82670.84974
1331,Tier 2,Executive,Non-Metro,46452,4,83,57,70993.96711
1332,Tier 1,Executive,Non-Metro,58254,4,42,23,73463.16278
1333,Tier 1,Executive,Non-Metro,72649,3,69,52,78861.45782
1334,Tier 3,Executive,Metro,59661,4,68,50,69712.40366
1335,Tier 1,Executive,Non-Metro,53714,1,67,18,69298.7501
1336,Tier 2,Executive,Non-Metro,61957,1,47,18,66397.77069
1337,Tier 1,Executive,Non-Metro,53203,3,69,21,64044.38295
1338,Tier 3,Manager,Non-Metro,51820,1,47,61,83346.06096
